CUST_ID,TENURE,BALANCE_FREQUENCY_RANGE,PURCHASES_FREQUENCY_RANGE,ONEOFF_PURCHASES_FREQUENCY_RANGE,PURCHASES_INSTALLMENTS_FREQUENCY_RANGE,CASH_ADVANCE_FREQUENCY_RANGE,PRC_FULL_PAYMENT_RANGE,BALANCE_RANGE,PURCHASES_RANGE,ONEOFF_PURCHASES_RANGE,INSTALLMENTS_PURCHASES_RANGE,CASH_ADVANCE_RANGE,CREDIT_LIMIT_RANGE,PAYMENTS_RANGE,MINIMUM_PAYMENTS_RANGE,PURCHASES_TRX_RANGE,CASH_ADVANCE_TRX_RANGE,cluster
C11378,11,10,1,1,0,3,0,5,1,1,0,4,6,6,3,1,2,1
C11379,7,0,9,0,9,0,0,0,1,0,1,0,3,0,2,2,0,0
C11380,12,10,10,0,10,5,0,5,1,0,1,4,6,3,3,3,2,1
C11381,12,10,0,0,0,4,0,4,0,0,0,2,4,2,3,0,1,1
C11382,12,4,4,0,3,0,4,1,1,0,1,0,2,1,1,2,0,3
C11383,12,10,10,10,10,1,10,1,4,3,3,1,3,4,1,7,1,2
C11384,12,8,7,0,7,0,7,1,3,0,3,0,5,3,1,2,0,0
C11385,12,10,10,1,10,0,9,1,3,1,3,0,3,3,1,7,0,0
C11386,12,10,3,3,0,9,0,5,1,1,0,5,6,3,3,1,4,1
C11387,12,10,10,10,6,0,0,5,4,4,1,0,5,4,3,8,0,2
C11388,12,10,10,10,9,0,1,1,3,2,2,0,5,3,1,5,0,2
C11389,12,9,5,5,0,0,2,1,1,1,0,0,5,2,1,2,0,3
C11390,12,10,0,0,0,2,0,5,0,0,0,4,6,3,3,0,1,1
C11391,12,10,8,1,7,2,0,2,2,1,1,2,3,1,1,2,1,0
C11392,12,10,5,3,1,0,3,1,2,1,1,0,5,1,1,2,0,3
C11394,12,8,0,0,0,5,4,2,0,0,0,5,4,5,1,0,4,1
C11395,12,10,10,5,10,2,1,3,5,4,3,3,6,4,1,6,1,2
C11396,12,10,10,10,5,5,0,5,2,2,1,4,5,3,3,6,3,2
C11397,12,8,6,6,0,1,10,1,4,4,0,1,6,4,1,4,1,2
C11398,12,10,10,1,10,0,2,1,1,1,1,0,3,1,1,3,0,0
C11399,12,7,3,3,0,0,3,1,1,1,0,0,5,3,1,1,0,3
C11400,12,4,4,0,4,0,2,1,1,0,1,0,3,1,1,2,0,3
C11401,9,9,6,2,4,2,0,2,1,1,1,2,3,1,2,1,1,3
C11402,7,10,5,5,0,2,0,4,3,3,0,1,4,2,2,1,1,3
C11403,12,10,10,7,9,5,0,4,3,2,1,2,6,3,3,5,2,2
C11404,12,10,10,5,10,0,10,1,3,2,2,0,5,3,1,4,0,2
C11405,12,10,0,0,0,2,0,5,0,0,0,3,6,3,4,0,1,1
C11406,12,10,10,10,4,0,0,3,3,3,2,0,5,3,1,5,0,2
C11407,12,10,10,10,6,1,9,1,3,3,1,3,6,3,1,4,1,2
C11408,12,10,10,0,10,0,0,3,2,0,2,0,4,3,3,5,0,0
C11409,12,5,5,0,4,0,1,1,3,0,3,0,4,3,1,1,0,0
C11410,12,10,0,0,0,1,0,3,0,0,0,1,3,1,1,0,1,3
C11411,12,10,0,0,0,4,0,5,0,0,0,2,6,3,3,0,2,1
C11412,12,10,10,0,10,0,1,2,2,0,2,0,2,3,2,4,0,0
C11413,12,10,9,0,9,3,0,4,1,0,1,4,5,5,3,4,2,1
C11414,12,10,9,2,8,0,0,3,3,3,2,0,4,3,1,3,0,2
C11415,12,10,10,10,5,0,10,1,3,3,1,0,6,3,1,5,0,2
C11416,12,10,10,10,0,0,4,1,2,2,0,0,5,2,1,4,0,2
C11417,12,10,5,3,3,1,0,3,3,3,1,1,5,2,2,2,1,2
C11418,10,9,4,0,3,0,0,3,1,0,1,0,4,3,2,1,0,3
C11419,12,10,5,5,0,0,0,3,5,5,0,0,5,5,2,3,0,2
C11420,12,10,9,2,8,1,1,2,4,3,3,2,5,3,1,5,1,2
C11421,12,4,3,3,0,0,7,1,3,3,0,0,5,3,1,2,0,3
C11422,12,4,4,2,3,1,2,1,3,2,2,1,3,3,1,2,1,3
C11423,12,7,5,5,0,0,10,1,1,1,0,0,6,1,1,2,0,3
C11424,12,10,0,0,0,3,0,4,0,0,0,3,5,2,3,0,1,1
C11425,12,10,5,0,5,0,0,3,1,0,1,0,5,2,1,2,0,0
C11426,12,10,7,0,7,0,0,1,1,0,1,0,5,4,1,4,0,0
C11427,12,10,8,2,7,0,0,2,2,1,2,0,6,3,1,4,0,0
C11428,12,10,10,1,10,1,0,4,2,1,1,1,5,5,3,6,1,2
C11429,12,10,2,2,0,2,0,3,1,1,0,1,3,2,1,1,1,3
C11430,12,10,7,6,1,0,2,1,3,3,1,0,4,3,1,4,0,2
C11431,7,6,0,0,0,2,10,1,0,0,0,1,3,2,1,0,1,3
C11432,12,3,1,1,0,1,0,1,1,1,0,1,3,1,1,1,1,3
C11433,12,10,1,1,0,5,0,5,1,1,0,5,5,3,3,1,4,1
C11434,12,10,2,2,0,0,0,1,1,1,0,0,3,1,1,2,0,3
C11435,12,10,0,0,0,5,0,3,0,0,0,3,3,2,3,0,3,1
C11436,12,10,10,0,10,0,10,1,1,0,1,0,3,1,1,3,0,0
C11437,12,10,0,0,0,3,0,3,0,0,0,2,3,2,1,0,1,3
C11438,11,10,6,6,0,1,1,1,2,2,0,1,3,2,1,2,1,3
C11439,12,10,0,0,0,1,0,3,0,0,0,1,5,2,2,0,1,3
C11440,12,10,4,3,1,0,0,2,1,1,1,0,4,1,1,2,0,3
C11441,12,10,10,10,5,0,0,1,3,3,1,0,5,2,1,5,0,2
C11442,12,10,10,6,9,0,0,1,3,2,2,0,3,2,1,5,0,2
C11443,12,10,0,0,0,2,0,3,0,0,0,3,3,2,2,0,1,3
C11444,12,10,10,10,2,0,3,1,2,1,1,0,3,1,1,4,0,0
C11445,12,10,10,5,10,0,9,1,4,4,2,0,6,4,1,6,0,2
C11446,12,10,4,4,0,4,1,3,1,1,0,3,3,4,1,2,2,1
C11447,12,10,10,0,10,0,0,3,2,0,2,0,3,4,5,3,0,0
C11448,12,9,0,0,0,1,2,2,0,0,0,2,2,3,1,0,1,3
C11449,12,10,6,6,0,0,0,4,3,3,0,0,4,3,2,5,0,2
C11450,12,10,10,0,10,0,4,1,1,0,1,0,3,1,1,3,0,0
C11451,12,6,4,4,0,0,10,1,2,2,0,0,5,3,1,1,0,3
C11452,12,10,10,7,10,0,4,1,4,3,3,0,5,3,1,6,0,2
C11453,12,10,0,0,0,5,0,2,0,0,0,3,2,3,1,0,2,1
C11454,12,6,5,0,5,0,3,1,1,0,1,0,6,2,1,3,0,0
C11455,12,10,10,5,7,0,0,1,2,1,1,0,4,2,1,6,0,0
C11456,12,10,0,0,0,2,0,5,0,0,0,5,6,3,4,0,1,1
C11457,12,10,10,5,10,1,0,4,4,3,3,2,5,5,3,7,1,2
C11458,12,10,10,10,10,0,10,2,6,5,3,0,5,6,1,8,0,2
C11459,12,10,5,1,5,1,0,2,1,1,1,1,2,1,1,3,1,0
C11460,10,10,3,3,0,0,0,4,3,3,0,0,5,2,2,2,0,3
C11461,12,10,10,2,10,0,0,2,3,1,2,0,5,3,1,3,0,0
C11463,12,10,10,1,9,1,0,4,4,1,4,3,3,4,4,7,1,2
C11464,12,3,1,1,0,0,10,1,1,1,0,0,5,2,1,1,0,3
C11466,12,9,5,5,0,2,0,2,3,3,0,3,3,3,2,2,1,3
C11467,12,2,0,0,0,1,0,1,0,0,0,1,5,1,1,0,1,3
C11468,12,9,7,7,0,0,10,1,3,3,0,0,5,3,1,4,0,2
C11469,12,5,5,1,4,0,0,1,2,1,1,0,4,3,1,2,0,3
C11470,12,10,9,5,8,0,1,3,5,4,3,0,4,5,1,6,0,2
C11471,12,10,10,10,7,0,10,2,5,5,3,0,4,5,1,7,0,2
C11472,12,10,9,0,9,5,0,5,3,0,3,5,6,4,4,6,3,1
C11473,12,6,1,1,0,0,0,1,1,1,0,0,3,1,1,1,0,3
C11474,12,10,0,0,0,1,0,1,0,0,0,1,5,2,1,0,1,3
C11475,12,10,8,1,7,0,1,3,4,3,3,0,5,4,1,5,0,2
C11476,12,10,0,0,0,2,0,3,0,0,0,1,3,1,2,0,1,3
C11477,12,5,1,1,0,3,0,1,1,1,0,3,4,4,1,1,1,3
C11478,12,10,6,0,6,0,0,3,1,0,1,0,2,1,5,3,0,0
C11479,12,10,7,7,0,0,7,1,1,1,0,0,5,1,1,2,0,3
C11480,12,10,10,6,5,0,4,1,3,2,3,0,5,3,1,5,0,2
C11481,12,9,8,0,8,0,10,3,6,0,6,0,6,6,1,2,0,2
C11482,12,10,10,4,10,5,0,3,3,3,3,5,6,4,2,7,3,2
C11483,12,10,1,1,0,3,0,5,1,1,0,5,6,3,3,1,2,1
C11484,12,10,6,2,5,0,0,3,3,3,2,0,4,3,2,3,0,2
C11485,12,10,10,10,5,0,3,1,2,2,1,0,5,2,1,4,0,2
C11486,7,10,6,3,8,0,0,2,2,1,2,0,5,1,1,2,0,0
C11487,12,10,10,10,8,0,0,2,4,3,2,0,6,3,1,6,0,2
C11488,12,10,8,4,5,4,0,3,2,1,1,1,3,3,2,3,1,0
C11489,12,5,4,1,2,0,3,1,2,2,1,0,4,2,1,1,0,3
C11490,12,10,3,0,2,5,0,5,1,0,1,5,6,3,3,1,3,1
C11491,12,10,9,9,0,0,0,3,2,2,0,0,5,3,2,4,0,2
C11492,12,10,10,10,5,0,9,2,5,5,1,0,5,5,1,8,0,2
C11493,11,10,6,1,5,0,0,3,2,1,1,0,5,2,1,2,0,0
C11494,12,10,9,0,9,0,0,2,3,0,3,0,3,3,1,2,0,0
C11495,12,10,10,10,6,0,2,5,6,6,1,0,6,6,3,7,0,2
C11496,12,10,10,8,7,0,0,1,1,1,1,0,5,1,1,5,0,0
C11497,12,10,1,0,1,4,0,3,1,0,1,2,3,3,2,1,2,1
C11498,12,10,0,0,0,10,0,6,0,0,0,5,6,4,4,0,3,1
C11499,12,10,0,0,0,2,1,4,0,0,0,5,6,5,3,0,1,1
C11500,12,10,10,0,10,0,0,3,2,0,2,0,3,2,2,5,0,0
C11501,11,10,2,2,0,1,0,5,2,2,0,3,5,6,3,1,1,1
C11502,12,10,10,10,10,0,1,2,4,3,3,0,6,5,1,7,0,2
C11503,12,10,10,0,10,0,10,1,2,0,2,0,3,2,1,5,0,0
C11504,12,10,3,3,0,0,0,2,1,1,0,0,2,1,2,1,0,3
C11505,8,10,10,0,9,0,9,1,3,0,3,0,2,2,1,2,0,0
C11506,12,3,1,0,1,0,5,1,1,0,1,0,6,6,3,0,0,3
C11507,12,10,10,5,10,0,0,3,3,2,1,0,5,1,2,5,0,2
C11508,12,10,8,4,5,0,10,1,3,3,2,0,5,3,1,4,0,2
C11509,12,10,3,3,0,2,3,1,1,1,0,5,5,2,1,1,2,1
C11510,12,10,0,0,0,10,0,5,0,0,0,5,6,3,3,0,5,1
C11511,12,10,10,10,10,0,10,2,4,3,3,0,5,4,1,7,0,2
C11512,12,10,1,1,0,4,0,4,1,1,0,2,5,2,3,1,1,1
C11513,12,10,10,10,5,0,0,3,5,4,2,0,5,4,1,7,0,2
C11514,11,10,10,9,3,0,0,3,5,5,2,0,5,4,3,7,0,2
C11515,11,10,5,2,3,2,0,3,1,1,1,3,3,2,3,2,2,1
C11516,12,10,10,10,2,1,3,1,2,2,1,1,1,2,1,4,1,2
C11517,12,7,0,0,0,2,2,3,0,0,0,3,3,4,1,0,2,3
C11518,12,7,4,4,0,0,10,1,3,3,0,0,5,3,1,2,0,2
C11519,12,10,10,10,0,0,10,1,3,3,0,0,4,3,1,6,0,2
C11520,9,5,4,0,3,0,10,1,1,0,1,0,5,2,1,2,0,0
C11522,10,10,6,0,5,0,2,1,2,0,2,0,2,2,1,2,0,0
C11523,12,10,10,7,10,0,0,3,3,2,3,0,5,3,2,5,0,2
C11524,10,10,0,0,0,8,0,3,0,0,0,4,3,2,2,0,4,1
C11526,11,10,3,3,0,0,0,3,1,1,0,0,6,2,1,1,0,3
C11527,12,10,10,10,9,0,0,3,4,3,1,0,5,3,1,7,0,2
C11528,12,10,10,6,10,1,0,4,3,3,1,2,6,5,3,5,1,2
C11529,12,5,10,8,10,0,3,1,3,3,3,0,5,4,1,6,0,2
C11530,12,7,1,1,0,0,0,1,1,1,0,0,3,1,1,1,0,3
C11531,12,10,0,0,0,5,0,3,0,0,0,4,4,3,2,0,2,1
C11532,12,10,10,10,5,1,0,3,3,3,2,1,4,4,3,7,1,2
C11533,12,10,10,10,0,0,0,3,3,3,0,0,3,3,1,3,0,2
C11534,12,10,10,3,9,1,10,1,3,1,3,1,5,3,1,5,1,0
C11536,12,10,0,0,0,1,0,3,0,0,0,1,5,4,2,0,1,3
C11537,12,10,10,0,10,9,0,4,3,0,3,4,6,3,2,3,3,1
C11538,12,10,9,7,8,9,0,5,2,2,1,5,5,3,3,6,6,1
C11539,12,10,5,4,1,0,0,2,3,3,1,0,3,2,1,2,0,3
C11540,12,10,0,0,0,6,0,4,0,0,0,3,4,3,3,0,3,1
C11541,12,10,10,10,5,0,5,3,5,5,3,0,4,5,1,7,0,2
C11542,12,10,0,0,0,5,1,4,0,0,0,6,5,5,3,0,5,1
C11543,12,10,3,1,3,4,0,3,1,1,1,1,3,2,3,1,1,1
C11544,12,10,3,3,0,5,0,3,2,2,0,3,3,3,2,1,3,1
C11545,12,9,8,8,5,0,7,1,3,2,1,0,4,3,1,5,0,2
C11546,12,10,1,1,0,0,0,3,1,1,0,0,3,1,1,1,0,3
C11547,12,10,10,0,10,0,0,1,2,0,2,0,3,1,1,6,0,0
C11548,12,10,10,10,5,0,10,1,3,3,1,0,5,3,1,5,0,2
C11549,12,10,10,7,7,0,0,3,4,3,2,0,4,3,2,7,0,2
C11550,12,10,9,5,5,1,0,1,3,3,3,1,3,3,1,4,1,2
C11551,12,2,2,0,2,0,0,1,1,0,1,0,3,1,1,1,0,3
C11552,12,10,10,0,10,0,10,1,3,0,3,0,3,3,1,4,0,0
C11553,12,10,8,1,7,0,0,2,3,2,2,0,5,3,1,4,0,2
C11554,12,10,10,5,5,0,0,4,4,3,2,0,5,3,3,4,0,2
C11555,12,10,0,0,0,2,0,5,0,0,0,1,5,3,3,0,1,1
C11556,12,10,0,0,0,10,0,5,0,0,0,4,5,4,5,0,5,1
C11557,11,10,0,0,0,2,0,4,0,0,0,1,4,2,2,0,1,3
C11558,12,10,7,0,7,0,2,1,1,0,1,0,3,1,1,3,0,0
C11559,12,10,0,0,0,2,0,2,0,0,0,3,3,3,1,0,1,3
C11560,12,6,1,1,0,0,0,1,1,1,0,0,3,1,1,1,0,3
C11561,12,10,10,9,10,2,0,4,4,3,3,3,4,3,2,7,1,2
C11562,12,10,4,2,2,0,0,3,2,1,1,0,3,3,1,2,0,3
C11563,12,10,5,5,0,2,0,3,1,1,0,3,4,1,1,1,1,3
C11564,12,10,4,3,1,3,0,3,3,3,1,4,5,4,1,3,1,2
C11565,12,7,5,0,5,0,10,2,4,0,4,0,6,5,1,3,0,0
C11566,12,10,6,6,0,0,0,4,3,3,0,0,5,2,3,3,0,2
C11567,12,10,4,4,0,2,0,3,3,3,0,3,3,2,3,5,1,2
C11568,12,10,1,1,0,4,0,5,1,1,0,4,5,3,3,1,2,1
C11569,9,8,0,0,0,5,2,3,0,0,0,5,5,5,2,0,3,1
C11570,12,7,6,5,5,0,3,1,3,3,3,0,5,3,1,6,0,2
C11571,12,10,9,0,9,2,0,2,1,0,1,3,2,3,2,2,2,0
C11572,6,10,2,2,0,0,0,2,3,3,0,0,3,3,1,1,0,3
C11573,12,10,10,10,6,0,0,5,4,4,3,0,6,3,3,6,0,2
C11574,12,10,10,10,2,0,10,1,3,3,1,0,6,3,1,6,0,2
C11575,12,10,10,10,5,0,9,1,3,3,1,0,5,3,1,5,0,2
C11576,6,5,4,4,0,2,0,4,2,2,0,5,5,2,3,2,1,1
C11577,12,10,9,0,8,0,1,3,1,0,1,0,5,3,1,2,0,0
C11578,12,10,10,6,10,5,2,2,3,2,2,3,3,4,2,6,3,2
C11579,12,10,0,0,0,2,0,3,0,0,0,1,3,2,2,0,1,3
C11580,12,10,0,0,0,2,0,3,0,0,0,2,3,2,3,0,1,3
C11581,12,3,3,0,2,0,2,1,1,0,1,0,4,1,1,1,0,3
C11582,12,10,7,1,6,5,0,2,1,1,1,3,3,1,1,2,2,1
C11583,12,10,10,10,9,5,0,5,4,3,1,3,5,3,3,6,2,2
C11585,12,10,10,2,10,0,0,3,4,3,3,0,5,3,1,6,0,2
C11586,12,10,10,0,10,0,5,1,2,0,2,0,6,2,1,3,0,0
C11587,12,10,1,1,0,1,2,3,1,1,0,1,3,4,1,1,1,3
C11588,12,10,0,0,0,3,0,3,0,0,0,5,5,4,1,0,2,1
C11589,12,10,5,5,0,4,0,3,2,2,0,3,4,2,2,2,1,1
C11590,12,0,6,0,5,0,0,0,1,0,1,0,4,1,2,2,0,3
C11591,12,10,10,0,10,2,0,2,1,0,1,2,5,2,1,5,1,0
C11592,12,10,0,0,0,1,0,4,0,0,0,1,5,3,3,0,1,1
C11593,12,10,8,1,7,2,0,4,2,1,2,1,3,3,3,6,1,0
C11594,12,10,0,0,0,2,0,3,0,0,0,1,3,1,1,0,1,3
C11595,12,3,1,0,1,0,10,1,1,0,1,0,4,3,1,1,0,3
C11596,12,2,2,0,1,0,1,1,1,0,1,0,3,1,1,1,0,3
C11597,12,10,10,5,10,5,1,3,3,2,1,3,4,4,1,6,2,2
C11598,12,10,1,1,0,2,2,1,1,1,0,3,2,3,1,1,1,3
C11599,12,10,0,0,0,3,0,5,0,0,0,4,5,3,3,0,2,1
C11600,12,10,1,1,0,0,0,2,1,1,0,0,3,1,1,1,0,3
C11601,12,10,10,5,10,2,2,3,4,2,4,1,5,3,1,6,1,2
C11602,12,10,5,1,4,0,0,3,1,1,1,0,3,3,3,2,0,0
C11603,10,9,5,5,1,3,0,4,3,3,1,4,4,3,3,3,1,1
C11604,12,10,10,1,10,0,0,3,3,1,3,0,3,3,3,6,0,0
C11605,12,10,10,1,10,0,8,1,1,1,1,0,4,1,1,3,0,0
C11606,12,10,10,0,10,0,3,1,1,0,1,0,4,1,1,3,0,0
C11607,12,10,5,2,5,0,0,3,1,1,1,0,5,3,1,3,0,0
C11608,12,10,10,0,10,0,0,3,1,0,1,0,2,2,3,3,0,0
C11609,12,10,10,0,10,0,1,1,1,0,1,0,2,1,1,3,0,0
C11610,12,10,0,0,0,4,0,4,0,0,0,1,4,2,3,0,2,1
C11611,12,10,10,5,10,0,3,1,3,2,3,0,4,4,1,5,0,2
C11612,12,10,10,10,0,1,10,3,6,6,0,3,6,6,2,7,1,2
C11613,12,10,3,0,2,0,0,3,1,0,1,0,5,2,2,1,0,3
C11614,12,10,0,0,0,7,1,4,0,0,0,6,5,5,2,0,3,1
C11615,12,10,4,0,4,2,0,4,1,0,1,3,5,3,3,1,1,1
C11616,12,6,4,4,0,0,0,1,1,1,0,0,2,1,1,2,0,3
C11617,12,2,2,2,0,0,10,1,1,1,0,0,5,1,1,1,0,3
C11618,12,10,9,6,7,0,2,1,2,1,1,0,3,2,1,5,0,0
C11619,12,10,10,7,10,0,9,1,4,3,3,0,3,4,1,7,0,2
C11621,12,10,10,1,9,0,3,1,3,2,2,0,5,3,1,3,0,0
C11622,12,10,10,10,10,8,3,3,5,5,3,4,6,6,2,8,3,2
C11623,12,10,5,5,0,1,0,1,1,1,0,1,3,2,1,3,1,3
C11624,12,10,0,0,0,1,0,1,0,0,0,3,3,0,2,0,1,3
C11625,12,9,10,4,10,0,0,3,5,3,5,0,5,5,1,7,0,2
C11626,12,10,7,0,7,2,0,3,1,0,1,2,3,2,2,2,1,0
C11627,12,0,1,1,0,0,0,0,3,3,0,0,5,3,1,1,0,3
C11628,12,10,9,8,7,1,0,5,3,3,1,3,5,3,3,5,1,2
C11629,12,10,1,1,0,1,0,1,1,1,0,1,5,1,1,1,1,3
C11630,12,10,6,6,2,2,0,5,2,2,1,3,5,3,3,3,1,1
C11631,12,10,5,0,4,5,0,5,2,0,2,4,5,3,3,3,3,1
C11632,12,10,5,1,5,0,0,3,2,1,1,0,3,3,3,2,0,0
C11633,10,2,0,0,0,1,5,1,0,0,0,1,3,1,1,0,1,3
C11634,12,2,2,0,1,0,0,1,1,0,1,0,5,1,1,1,0,3
C11635,12,10,10,10,10,0,10,3,6,5,4,0,5,5,1,8,0,2
C11636,11,10,3,3,0,0,0,3,2,2,0,0,3,2,2,3,0,3
C11637,12,10,5,0,5,0,3,3,3,0,3,0,5,3,1,1,0,0
C11638,12,10,10,10,10,0,0,5,6,6,4,0,6,6,3,8,0,2
C11639,12,10,10,10,2,0,10,1,2,2,1,0,4,2,1,3,0,2
C11640,12,5,2,2,0,2,0,1,1,1,0,2,3,1,1,1,1,3
C11641,12,10,9,8,2,0,7,1,4,4,1,0,4,4,1,6,0,2
C11642,12,10,5,0,5,0,0,1,1,0,1,0,3,2,1,2,0,0
C11643,12,10,10,0,10,0,10,1,2,0,2,0,5,2,1,5,0,0
C11644,12,2,10,0,10,0,0,1,1,0,1,0,3,1,1,3,0,0
C11645,12,2,10,0,10,0,0,1,2,0,2,0,3,1,2,3,0,0
C11646,12,9,7,2,5,0,5,1,3,2,1,0,4,2,1,3,0,0
C11647,10,9,3,1,1,0,0,3,3,3,1,0,3,2,1,1,0,3
C11648,12,10,5,2,4,0,0,4,2,1,1,0,6,4,3,3,0,2
C11649,12,10,10,1,10,1,0,3,2,1,2,1,5,3,2,4,1,0
C11650,12,10,10,0,10,0,0,3,1,0,1,0,3,3,1,3,0,0
C11651,12,10,10,0,9,0,10,1,2,0,2,0,2,1,1,3,0,0
C11652,12,9,0,0,0,2,2,2,0,0,0,3,3,3,1,0,1,3
C11653,10,9,0,0,0,2,0,4,0,0,0,4,4,2,3,0,3,1
C11654,12,10,8,5,5,0,0,3,2,2,1,0,4,1,1,4,0,0
C11655,10,10,1,1,0,2,0,3,1,1,0,1,3,4,1,1,1,3
C11656,12,10,10,10,9,0,0,2,3,3,1,0,2,3,2,5,0,2
C11657,12,10,10,10,10,0,10,4,6,6,5,0,6,6,2,8,0,2
C11658,12,10,10,6,10,5,1,3,4,3,1,2,5,4,1,6,2,2
C11659,12,9,8,0,7,0,10,1,1,0,1,0,4,1,1,3,0,0
C11660,12,10,10,0,10,3,0,2,1,0,1,2,2,1,1,3,1,0
C11661,12,10,1,1,0,2,0,5,1,1,0,1,5,3,3,1,1,1
C11662,12,7,6,6,0,0,10,1,4,4,0,0,5,4,1,5,0,2
C11663,12,10,10,5,7,0,0,3,3,3,1,0,4,3,3,4,0,2
C11664,12,6,5,0,5,0,10,1,1,0,1,0,4,1,1,2,0,0
C11666,12,10,5,0,5,2,0,4,1,0,1,4,5,3,3,1,1,1
C11667,12,8,3,3,0,0,2,3,4,4,0,0,3,3,3,6,0,2
C11668,12,10,10,0,10,0,0,3,2,0,2,0,5,3,1,5,0,0
C11669,12,10,9,7,8,0,6,3,5,5,2,0,3,5,1,7,0,2
C11670,12,10,10,10,10,0,6,2,4,3,3,0,6,4,1,7,0,2
C11671,12,10,10,8,5,0,0,3,5,4,1,0,4,5,1,7,0,2
C11672,12,10,7,7,0,0,0,5,4,4,0,0,6,4,4,7,0,2
C11673,12,10,10,10,0,0,7,1,1,1,0,0,6,1,1,3,0,2
C11674,11,10,3,0,2,0,10,1,1,0,1,0,4,3,3,1,0,0
C11675,12,1,0,0,0,1,0,1,0,0,0,3,6,0,2,0,1,3
C11676,12,10,6,6,1,2,0,3,2,2,1,3,4,3,2,4,1,2
C11677,12,10,10,5,10,1,0,3,3,1,3,1,5,3,1,5,1,2
C11678,12,10,10,10,10,3,0,5,3,3,2,4,6,3,3,6,1,2
C11679,12,10,4,4,0,0,0,3,1,1,0,0,3,2,2,2,0,3
C11680,6,10,4,4,0,0,0,3,1,1,0,4,4,1,2,1,5,1
C11681,12,8,0,0,0,2,0,3,0,0,0,3,3,2,2,0,1,3
C11682,12,10,7,0,7,0,0,1,1,0,1,0,5,2,1,2,0,0
C11683,8,9,0,0,0,4,0,5,0,0,0,5,5,3,3,0,3,1
C11684,12,10,5,5,0,0,0,3,1,1,0,0,3,1,3,2,0,3
C11685,12,10,10,4,10,8,0,4,3,3,3,5,4,6,3,7,6,1
C11686,12,5,4,4,0,0,3,1,1,1,0,0,6,1,1,1,0,3
C11687,9,8,0,0,0,7,0,3,0,0,0,5,3,4,1,0,4,1
C11688,12,8,6,1,5,0,10,1,2,1,1,0,5,2,1,2,0,0
C11689,12,10,4,0,4,0,0,3,1,0,1,0,3,2,1,1,0,3
C11690,12,7,0,0,0,2,0,3,0,0,0,3,5,2,2,0,2,1
C11691,12,10,5,4,1,0,0,5,2,2,1,0,5,3,3,2,0,2
C11692,12,8,6,6,2,0,9,1,4,4,1,0,5,4,1,3,0,2
C11693,12,10,10,7,9,0,0,3,4,4,2,0,5,2,2,6,0,2
C11694,12,10,0,0,0,2,0,2,0,0,0,1,3,2,1,0,1,3
C11695,12,10,10,7,9,0,6,4,6,6,6,0,5,6,3,8,0,2
C11696,12,10,10,0,10,1,10,1,3,0,3,1,3,3,1,3,1,0
C11697,12,10,0,0,0,4,0,3,0,0,0,1,3,1,2,0,1,3
C11698,12,10,9,9,4,0,3,1,3,3,2,0,5,3,1,4,0,2
C11699,12,10,5,1,5,0,0,3,2,1,2,0,3,1,1,2,0,0
C11700,12,10,0,0,0,9,0,5,0,0,0,4,5,3,3,0,4,1
C11701,12,10,10,10,5,0,0,4,3,2,1,0,6,3,2,4,0,2
C11702,12,9,0,0,0,1,2,3,0,0,0,3,4,5,2,0,1,1
C11703,12,10,10,8,10,0,10,1,3,3,2,0,5,3,1,6,0,2
C11704,12,10,10,10,10,0,0,3,4,3,3,0,6,3,2,7,0,2
C11705,12,1,0,0,0,1,0,1,0,0,0,2,2,0,2,0,1,3
C11706,12,10,6,5,3,8,0,3,2,1,1,3,4,1,1,3,5,1
C11707,12,10,10,10,10,1,1,3,4,3,3,3,6,5,2,7,1,2
C11708,12,10,10,10,0,1,5,1,2,2,0,1,5,4,1,3,1,2
C11709,12,10,4,1,3,0,0,5,1,1,1,0,6,3,4,1,0,1
C11710,12,10,10,8,8,6,0,4,3,3,2,2,4,2,2,6,2,2
C11711,12,9,10,0,10,5,1,3,1,0,1,5,4,5,1,3,1,1
C11712,12,10,5,1,5,0,6,1,2,1,1,0,5,2,1,2,0,0
C11713,12,10,0,0,0,3,0,3,0,0,0,1,3,2,2,0,1,3
C11714,9,10,3,0,2,5,0,5,1,0,1,5,5,3,3,1,2,1
C11715,12,7,6,4,5,3,0,4,5,4,3,5,5,5,5,7,3,2
C11716,12,10,1,1,0,1,0,3,1,1,0,1,3,2,2,1,1,3
C11717,12,10,10,10,0,0,10,1,4,4,0,0,5,4,1,5,0,2
C11718,12,10,7,1,7,0,6,1,2,2,1,0,5,2,1,3,0,0
C11719,12,10,0,0,0,1,0,3,0,0,0,3,3,1,2,0,1,3
C11720,10,9,9,0,8,0,10,1,2,0,2,0,4,2,1,3,0,0
C11721,12,10,10,9,8,0,0,5,5,4,3,0,6,3,3,7,0,2
C11722,12,10,3,2,1,1,0,2,2,2,1,1,3,1,1,2,1,3
C11723,7,8,8,6,3,0,3,1,2,2,1,0,5,2,1,4,0,0
C11724,12,10,5,2,5,0,0,5,3,3,2,0,5,3,3,4,0,2
C11725,12,10,3,3,0,0,1,3,3,3,0,0,3,4,2,2,0,3
C11726,7,10,10,2,9,0,5,1,2,1,2,0,2,1,1,3,0,0
C11728,12,10,8,0,8,0,0,1,1,0,1,0,2,1,1,3,0,0
